"Plot","SampleID","Sample_Type","Aquatic_Type","Date","Landcover","Latitude","Longitude","Temp_water_degC","pH","DO_per","Cond_uscm","TDS_mgL","mvorp","Velocity_m_s","Discharge_m3s","WindSpeed_mean_ms","Temp_air_degC","Slope","DistancetoOutlet_m","CN","conc_CH4_mM","conc_CO2_mM","DOC_mgL","TDN_mgL","del_DIC","pCO2_uatm","CO2Flux_gm2d","k600","NOSC_median","NOSC_mean","NOSC_std","GFE_median","GFE_mean","GFE_std","DBE_median","DBE_mean","DBE_std","AI_median","AI_mean","AI_std","Shannon_Diversity","Raos_Elemental_Comp","Amino_sugar","Carbohydrate","Cond_HC","Lignin","Lipid","Protein","Tannin","Unsat_HC","Other","dist_km"
"19","19SW","surface","Stream",2023-07-14,"Forest",68.3488,19.00216,13.62,6.78,57,0.08,40,88.3,0.331,0.068032913,4.38604166666667,12.97375,0.00402006895517155,4582.97200181302,26.1728601757649,0.003093719,0.715987754,10.10545247,0.386104247,-13.61,4669.64190668392,11.9408099957635,5.80035626344363,-0.368421052631579,-0.339422534174286,0.41916275280373,70.8,69.9735422239672,11.9461384549063,12,12.4611742424242,4.50755337135182,0,0.0149431346650263,0.652241242154669,7.66083738472003,0.271646222124416,0.28,0.57,9.59,74.25,3.27,9.25,1.82,0.94,0.03,4.58297200181302
"2","2SW","surface","Lake",2023-07-12,"Tundra",68.32138,19.00911,18.8,6.49,59.4,0.06,27,145.5,NA,NA,5.20895833333333,19.27625,0.0471422878128663,10061.8073324823,20.8883916938683,NA,0.411880132,5.126753904,0.24543555,-9.57,4514.18399483935,3.01338588605969,1.55219885633458,0,-0.0194073189440202,0.488710495899446,60.3,60.8531085899046,13.9282491331342,13,12.909756097561,4.76867407740396,0,-0.0769140682376157,0.778096156793904,7.86357313511011,0.263810979650269,0.33,0.55,22.77,59.03,1.52,4.96,10.53,0.3,NA,10.0618073324823
"20","20SW","surface","Stream",2023-07-14,"Peatland",68.35012,19.00387,12.64,6.23,35.6,0.08,40,55.8,0.217,0.005425,4.38604166666667,12.97375,0.00083596818446954,4597.65616038785,19.9100525819778,NA,0.845440466,7.735889062,0.38854187,-15.47,10674.7762066527,12.6072032891462,2.53537187782092,-0.205128205128205,-0.176126170009503,0.443696114831472,66.1461538461539,65.3195958452708,12.645339272697,12,11.9714397496088,4.32400640043089,-0.0476190476190476,-0.0992838456608455,0.814754919371837,7.56152185229606,0.266730570886387,1.01,0.97,11.46,68.93,1.36,6.12,9.08,1.01,0.04,4.59765616038785
"21","21SW","surface","Stream",2023-07-14,"Forest",68.3458,19.06135,12.54,6.78,55.8,0.05,26,92.7,0.399,0.0029925,4.38604166666667,12.97375,0.0608016646335606,3670.34386903628,22.7518517488075,0.002951908,0.509764933,7.725427414,0.339551589,-12.91,3260.38851690011,59.6391141293876,43.019073505657,-0.37037037037037,-0.349041397846029,0.357924470586632,70.8555555555556,70.2476798386118,10.200847411719,12,11.9325,4.15675150105474,0,-0.0803821059109491,0.701073053266281,7.34234503506043,0.259831924379089,1.14,0.8,3.23,84.38,1.59,6.37,1.39,1.09,NA,3.67034386903628
"22","22SW","surface","Stream",2023-07-14,"Forest",68.35002,19.0328,14.98,7.09,60.1,0.07,36,81.6,2.272,0.38624,4.38604166666667,12.97375,0.030791294017974,2924.80309739624,28.8182130511951,NA,0.493039275,8.063338663,0.279800092,-11.98,1910.23738182428,137.203505682249,189.443969662324,-0.341463414634147,-0.3078562405855,0.433103031118351,70.0317073170732,69.0739028566867,12.343436386873,11,11.5657395701643,4.44345960727751,-0.0476190476190476,-0.096950834461561,0.672039592598269,7.65725789025541,0.272468511933213,1.04,0.41,8.53,71.4,2.3,9.63,5.13,1.48,0.09,2.92480309739624
"23","23SW","surface","Stream",2023-07-14,"Peatland",68.34619,18.97844,13.94,6.18,23.2,0.09,43,-8.3,0.696,0.050112,4.38604166666667,12.97375,0.00068062094792866,5791.89340598988,30.4012806345695,NA,0.814719795,13.46782633,0.443001941,-15.89,11098.0263082024,17.330854670947,3.36581630269346,-0.222222222222222,-0.1991867691136,0.448508772245273,66.6333333333333,65.9768229197376,12.7825000089902,12,12.0909952606635,4.48137716174173,0,-0.0568578930544354,0.695788098884766,7.74195021007454,0.264743064740215,0.69,0.6,13.14,69.03,1.83,7.21,6.58,0.88,0.03,5.79189340598988
"24","Site24","surface","Lake",2023-07-15,"Peatland",68.3575,19.06191,14.54,7.15,63.7,0.04,20,36.8,0.017,0.002958,4.003125,10.2835416666667,4.0631300086e-05,2055.48491819827,23.679440394212,0.228725851,0.240986926,4.774196346,0.201617786,-3.5,826.515880416278,0.241915055372275,1.17135703306064,0,-0.00013004036242372,0.501835870365886,60.3,60.3037061503291,14.3023223054277,12,11.7686832740214,3.97327677495496,-0.1,-0.234115475957749,0.927816015176687,7.72525898539656,0.261983647491046,0.74,0.36,15.65,60.03,0.97,5.47,16.27,0.39,0.13,2.05548491819827
"25","25SW","surface","Lake",2023-07-15,"Peatland",68.35791,19.0558,14.43,6.95,60,0.04,19,8.09,NA,NA,4.003125,10.2835416666667,0.00046843316437818,1787.31718520247,26.4161238842806,0.053391376,0.243170184,4.801396632,0.181760074,-2.83,1207.0428392833,0.456156336542327,1.17135703306064,-0.111111111111111,-0.0931283762875978,0.545601154785885,63.4666666666667,62.9541587241965,15.5496329113977,11,10.8727717581265,4.06407116664285,-0.111111111111111,-0.246966777763492,0.992823152283591,7.59588570317816,0.263944005493881,1.54,0.7,13.75,57.1,1.85,9.01,14.83,0.98,0.24,1.78731718520247
"26","Site26","surface","Lake",2023-07-15,"Peatland",68.35636,19.05906,14.64,6.88,61.3,0.04,18,116.7,NA,NA,4.003125,10.2835416666667,4.0631300086e-05,2143.98092678936,26.6346493735324,NA,0.213244999,5.19266229,0.194958913,-3.5,1199.50574244717,0.45139966822374,1.17135703306064,0,-0.00508425352099979,0.499598752299957,60.3,60.4449012253485,14.2385644405488,12,11.8266166822868,4.11114233891677,-0.0666666666666667,-0.207629545386091,0.93663308310871,7.7410779095836,0.259484800658646,0.87,0.59,17.16,59.31,1.31,5.4,14.82,0.44,0.09,2.14398092678936
"27","Site27","surface","Lake",2023-07-16,"Peatland",68.35451,19.04973,14.24,6.42,56.9,0.04,17,68,NA,NA,4.84145833333333,12.1291666666667,2.412013645457e-05,2584.87113180958,NA,0.039951711,0.185761949,NA,NA,-2.75,2013.64751321451,1.10957923708834,1.42876511186017,0,-0.0578888872300352,0.49929944787551,60.3,61.949833286056,14.2300342644521,12,11.9875846501129,4.20271855771491,-0.0476190476190476,-0.171204997021238,0.836027701793075,7.8448470053637,0.263828000607609,0.68,0.45,15.96,61.34,1.58,6.12,13.2,0.62,0.06,2.58487113180958
